ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
22078331,中古マンション等,,22131,静岡県,浜松市中区,板屋町,浜松,6,２ＬＤＫ,75,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2013年第４四半期,未改装,,7.623249290397901
22125376,中古マンション等,,22203,静岡県,沼津市,大岡,沼津,30分?60分,３ＬＤＫ,80,,,,平成18年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2008年第４四半期,未改装,,7.447158031342219
22063222,中古マンション等,,22203,静岡県,沼津市,泉町,沼津,15,,70,,,,,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,150.0,2014年第４四半期,改装済,,7.0
22015526,中古マンション等,,22134,静岡県,浜松市南区,西伝寺町,浜松,30分?60分,４ＬＤＫ,80,,,,,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2018年第２四半期,未改装,,6.954242509439325
22010574,中古マンション等,,22131,静岡県,浜松市中区,中沢町,浜松,26,３ＬＤＫ,75,,,,平成3年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第３四半期,未改装,,7.0
22062474,中古マンション等,,22101,静岡県,静岡市葵区,昭和町,静岡,6,１Ｋ,20,,,,昭和53年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2012年第１四半期,未改装,,6.301029995663981
22012491,中古マンション等,,22132,静岡県,浜松市東区,北島町,浜松,1H?1H30,２ＬＤＫ,50,,,,昭和49年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2019年第４四半期,未改装,,5.698970004336019
22103456,中古マンション等,,22203,静岡県,沼津市,上香貫,沼津,30分?60分,,65,,,,平成7年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2009年第３四半期,,,7.079181246047625
22007685,中古マンション等,,22103,静岡県,静岡市清水区,真砂町,清水(静岡),5,３ＬＤＫ,90,,,,平成19年,ＲＣ,,住宅,,,,商業地域,80.0,400.0,2017年第４四半期,未改装,,7.447158031342219
22074317,中古マンション等,,22203,静岡県,沼津市,下香貫,沼津,30分?60分,３ＬＤＫ,70,,,,平成2年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2015年第２四半期,,,6.832508912706237
22087829,中古マンション等,,22206,静岡県,三島市,青木,三島,30分?60分,３ＬＤＫ,65,,,,平成16年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第４四半期,未改装,,7.2552725051033065
22098486,中古マンション等,,22206,静岡県,三島市,南田町,三島,23,２ＬＤＫ＋Ｓ,60,,,,平成9年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第１四半期,未改装,,7.113943352306837
22055147,中古マンション等,,22131,静岡県,浜松市中区,高町,浜松,15,４ＬＤＫ,95,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2014年第４四半期,未改装,,7.491361693834273
22064558,中古マンション等,,22203,静岡県,沼津市,高島町,沼津,4,３ＬＤＫ,65,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第２四半期,改装済,,7.176091259055681
22051343,中古マンション等,,22101,静岡県,静岡市葵区,梅屋町,静岡,15,３ＤＫ,65,,,,平成10年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第２四半期,未改装,,7.146128035678238
22053813,中古マンション等,,22102,静岡県,静岡市駿河区,馬渕,静岡,8,２ＬＤＫ,70,,,,平成17年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2010年第４四半期,未改装,,7.414973347970818
22001136,中古マンション等,,22101,静岡県,静岡市葵区,呉服町,静岡,11,１ＬＤＫ,100,,,,平成26年,ＲＣ,,住宅,,,,商業地域,80.0,600.0,2018年第３四半期,改装済,,7.954242509439325
22091041,中古マンション等,,22131,静岡県,浜松市中区,高丘東,浜松,1H30?2H,３ＤＫ,55,,,,昭和64年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第４四半期,改装済,,6.913813852383717
22059283,中古マンション等,,22103,静岡県,静岡市清水区,興津本町,興津,1,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2015年第１四半期,未改装,,7.204119982655925
22009461,中古マンション等,,22131,静岡県,浜松市中区,蜆塚,浜松,30分?60分,３ＬＤＫ,80,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2016年第４四半期,改装済,,7.176091259055681
22012696,中古マンション等,,22132,静岡県,浜松市東区,篠ケ瀬町,天竜川,9,,75,,,,平成10年,ＳＲＣ,,,,,,近隣商業地域,80.0,300.0,2020年第１四半期,,,7.079181246047625
22058712,中古マンション等,,22102,静岡県,静岡市駿河区,南町,静岡,4,３ＬＤＫ,70,,,,平成11年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,未改装,,7.342422680822207
22069056,中古マンション等,,22206,静岡県,三島市,広小路町,三島広小路,1,１ＬＤＫ,45,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第１四半期,未改装,,7.301029995663981
22054810,中古マンション等,,22102,静岡県,静岡市駿河区,寿町,静岡,21,３ＬＤＫ,80,,,,平成2年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2011年第１四半期,未改装,,7.146128035678238
22110807,中古マンション等,,22210,静岡県,富士市,蓼原,富士,30分?60分,２ＤＫ,40,,,,,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第４四半期,未改装,,6.301029995663981
22122057,中古マンション等,,22131,静岡県,浜松市中区,葵西,浜松,1H30?2H,４ＬＤＫ,75,,,,平成5年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2008年第１四半期,未改装,,7.041392685158225
22071041,中古マンション等,,22203,静岡県,沼津市,吉田町,沼津,20,３ＬＤＫ,70,,,,昭和57年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2011年第１四半期,未改装,,6.903089986991944
22089842,中古マンション等,,22135,静岡県,浜松市北区,三ヶ日町都筑,都筑,30分?60分,１ＬＤＫ,70,,,,平成2年,ＳＲＣ,住宅,,,,,市街化調整区域,60.0,200.0,2013年第３四半期,改装済,,6.7923916894982534
22020217,中古マンション等,,22203,静岡県,沼津市,大岡,沼津,1H?1H30,４ＬＤＫ,90,,,,平成11年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,150.0,2020年第３四半期,未改装,,7.146128035678238
22056957,中古マンション等,,22101,静岡県,静岡市葵区,両替町,静岡,11,,75,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2015年第３四半期,,,7.301029995663981
22004797,中古マンション等,,22102,静岡県,静岡市駿河区,西中原,静岡,24,,50,,,,昭和48年,,住宅,住宅,,,,近隣商業地域,80.0,200.0,2020年第１四半期,未改装,,6.643452676486188
22008659,中古マンション等,,22131,静岡県,浜松市中区,鍛冶町,浜松,7,３ＬＤＫ,75,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2016年第３四半期,,,7.3222192947339195
22017716,中古マンション等,,22135,静岡県,浜松市北区,三ヶ日町都筑,都筑,30分?60分,１ＤＫ,50,,,,平成2年,ＳＲＣ,住宅,,,,,市街化調整区域,60.0,200.0,2016年第４四半期,未改装,,6.778151250383644
22062967,中古マンション等,,22131,静岡県,浜松市中区,常盤町,浜松,12,２ＬＤＫ,70,,,,平成10年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2015年第２四半期,未改装,,7.204119982655925
22086579,中古マンション等,,22203,静岡県,沼津市,平町,沼津,13,４ＬＤＫ,90,,,,平成9年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2012年第２四半期,未改装,調停・競売等,7.146128035678238
22004609,中古マンション等,,22102,静岡県,静岡市駿河区,中田,静岡,20,４ＬＤＫ,80,,,,昭和61年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2016年第４四半期,未改装,,7.079181246047625
22089846,中古マンション等,,22135,静岡県,浜松市北区,三ヶ日町都筑,都筑,30分?60分,３ＬＤＫ,95,,,,平成2年,ＳＲＣ,住宅,,,,,市街化調整区域,60.0,200.0,2013年第３四半期,未改装,,6.812913356642856
22064357,中古マンション等,,22101,静岡県,静岡市葵区,両替町,静岡,11,１Ｒ,20,,,,昭和59年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2012年第１四半期,改装済,,6.544068044350276
22122409,中古マンション等,,22131,静岡県,浜松市中区,新津町,助信,3,３ＬＤＫ,70,,,,平成13年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2008年第２四半期,未改装,,7.278753600952829
22089145,中古マンション等,,22206,静岡県,三島市,南町,三島,21,２ＬＤＫ,60,,,,平成13年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2012年第３四半期,未改装,関係者間取引,7.146128035678238
22010985,中古マンション等,,22131,静岡県,浜松市中区,八幡町,浜松,20,３ＬＤＫ,75,,,,平成12年,,住宅,住宅,,,,近隣商業地域,80.0,300.0,2020年第３四半期,未改装,,7.0
22008454,中古マンション等,,22131,静岡県,浜松市中区,小豆餅,浜松,1H?1H30,３ＬＤＫ,65,,,,平成4年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2018年第１四半期,,,6.949390006644912
22114926,中古マンション等,,22214,静岡県,藤枝市,駿河台,藤枝,29,４ＬＤＫ,85,,,,平成6年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第２四半期,未改装,,7.176091259055681
